duo,matches_count,avg,median,max
Diederik & Errol,1,51757,51757,51757
Bas & Sjors,2,42417.5,42417,45101
Corné & Sjors,2,38538,38538,54094
Bas & Diederik,17,38392.35,38829,78753
Corné & Diederik,25,33702.2,31466,70621
Diederik & Sjors,6,33317.5,33530,48968
Diederik & Frank,7,31686,23210,71250
Daaf & Diederik,13,29962.69,28074,63480
Anne & Diederik,6,26495.67,21568,51928
Bas & Corné,3,25951.67,16685,48366
Diederik & Tom,1,25240,25240,25240
Anne & Corné,1,24075,24075,24075
Corné & https://vercel.com/diederik-van-zessens-projects/dashboard/FZPG8z118Ujg53aGEq95jdW6M4nh,1,23189,23189,23189
